               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.065757,            0.027366,             0.04013,             0.55946,             0.29847,             0.24406,             0.11701,            0.043453,            0.020833,            0.028659,             0.07008,           0.0033244,           0.0033244
                   1,            0.048043,            0.019134,            0.026519,             0.44782,             0.40101,               0.286,             0.14447,            0.041118,            0.017777,            0.023874,            0.038762,           0.0053395,           0.0053395
                   2,            0.043112,            0.017845,            0.023136,             0.41213,             0.46895,             0.31986,              0.1691,            0.040657,            0.017867,            0.022491,           0.0061235,           0.0060346,           0.0060346
                   3,            0.037416,            0.017428,            0.021528,             0.54047,             0.50989,             0.42861,              0.2123,            0.037758,            0.017354,            0.019908,             0.00406,             0.00406,             0.00406
                   4,            0.035767,            0.017166,            0.019879,             0.58874,              0.4841,             0.44868,             0.21544,            0.039314,            0.017503,            0.019495,             0.00406,             0.00406,             0.00406
