               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.065757,            0.027366,             0.04013,             0.55533,             0.30528,             0.24399,             0.11697,            0.043453,            0.020833,            0.028659,             0.07008,           0.0033244,           0.0033244
                   1,            0.049931,            0.018979,            0.026378,             0.32836,             0.40376,             0.27685,             0.13675,            0.042247,            0.018229,            0.023379,            0.040014,           0.0065919,           0.0065919
                   2,            0.046337,            0.017876,            0.023524,             0.37836,             0.47566,             0.32004,             0.16274,            0.042045,             0.01825,            0.022046,           0.0098822,           0.0097933,           0.0097933
                   3,            0.042201,            0.017865,            0.022158,             0.40092,             0.42246,             0.31281,             0.13983,            0.046361,            0.019661,            0.022697,            0.009703,            0.009703,            0.009703
                   4,            0.038937,            0.017634,            0.020815,             0.54279,             0.48891,             0.38996,             0.19332,             0.03856,            0.018696,            0.022009,            0.009703,            0.009703,            0.009703
                   5,            0.036875,            0.017324,            0.019603,             0.52646,             0.50679,             0.39318,             0.20211,            0.037434,            0.018916,            0.019429,            0.009604,            0.009604,            0.009604
                   6,            0.036057,             0.01742,            0.019145,             0.44984,              0.5112,             0.42299,             0.23228,            0.034774,            0.017741,             0.02133,            0.009505,            0.009505,            0.009505
                   7,            0.034837,             0.01731,            0.018135,             0.45458,             0.54312,             0.45235,             0.23305,            0.035686,            0.017353,              0.0198,            0.009406,            0.009406,            0.009406
                   8,            0.034346,            0.017052,            0.017741,             0.50148,             0.55948,             0.50728,             0.27481,            0.034502,            0.017246,            0.016952,            0.009307,            0.009307,            0.009307
                   9,            0.033398,            0.016834,            0.017147,             0.50308,             0.56209,             0.50928,             0.26808,            0.034485,            0.017612,            0.017346,            0.009208,            0.009208,            0.009208
                  10,            0.033063,             0.01687,            0.016672,             0.55104,             0.57389,             0.54972,             0.30902,            0.033619,            0.017055,            0.016009,            0.009109,            0.009109,            0.009109
                  11,            0.032797,            0.016762,            0.015898,             0.56852,             0.60731,             0.55755,             0.31343,            0.033612,            0.016626,            0.015411,             0.00901,             0.00901,             0.00901
