               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  12,            0.032411,            0.016625,            0.015635,             0.57461,             0.58861,             0.55545,              0.2987,            0.034289,            0.016875,            0.015684,            0.008911,            0.008911,            0.008911
                  13,            0.031793,            0.016471,            0.014706,             0.57158,             0.58751,             0.53408,             0.29527,            0.033948,            0.016979,            0.015792,            0.008812,            0.008812,            0.008812
                  14,            0.032216,            0.016561,            0.014548,             0.59716,             0.60028,             0.56276,             0.30748,            0.034052,            0.016637,            0.014906,            0.008713,            0.008713,            0.008713
                  15,            0.031893,            0.016331,            0.014299,             0.60555,             0.59268,             0.57712,             0.31046,            0.034981,             0.01673,            0.014534,            0.008614,            0.008614,            0.008614
                  16,            0.031646,            0.016317,            0.014305,             0.57309,             0.60329,             0.55928,              0.3111,            0.034204,            0.016934,            0.014946,            0.008515,            0.008515,            0.008515
                  17,            0.031262,            0.016325,            0.013811,             0.55246,             0.67021,             0.60143,             0.33699,            0.033246,            0.016768,            0.014633,            0.008416,            0.008416,            0.008416
                  18,            0.030994,            0.016227,              0.0135,             0.52221,               0.604,             0.53241,             0.29229,              0.0334,            0.017116,            0.016105,            0.008317,            0.008317,            0.008317
                  19,            0.030923,            0.016256,            0.013511,             0.51959,             0.62256,             0.54138,             0.29848,            0.033869,            0.016806,            0.016003,            0.008218,            0.008218,            0.008218
                  20,            0.031107,            0.016376,            0.013226,             0.55158,             0.62955,              0.5694,             0.32041,            0.033597,            0.016753,            0.015659,            0.008119,            0.008119,            0.008119
                  21,            0.030948,            0.016144,             0.01298,             0.55057,             0.60456,             0.56253,             0.30958,            0.033133,            0.016835,             0.01608,             0.00802,             0.00802,             0.00802
                  22,            0.030699,            0.016242,            0.013341,             0.53376,             0.66657,             0.59993,             0.33271,            0.033434,            0.016976,            0.015445,            0.007921,            0.007921,            0.007921
                  23,            0.030399,            0.016212,            0.012607,             0.54098,             0.61134,             0.57266,             0.31711,            0.033629,            0.016849,            0.015991,            0.007822,            0.007822,            0.007822
                  24,            0.030413,            0.016079,            0.012083,             0.59932,             0.63615,             0.61773,             0.34474,            0.033941,            0.016873,            0.015342,            0.007723,            0.007723,            0.007723
                  25,            0.030321,            0.016129,            0.012117,             0.62588,             0.62502,             0.63648,             0.34997,            0.034257,            0.016777,            0.013858,            0.007624,            0.007624,            0.007624
                  26,            0.029975,            0.016132,            0.011774,              0.6327,             0.65713,             0.64531,             0.35561,            0.034265,            0.017001,            0.013989,            0.007525,            0.007525,            0.007525
                  27,            0.030031,            0.015878,            0.011893,             0.58875,             0.61628,             0.59907,             0.32397,            0.034757,            0.016843,            0.015228,            0.007426,            0.007426,            0.007426
                  28,            0.029836,            0.015975,            0.011446,              0.6238,             0.62686,             0.61895,             0.34106,            0.033875,              0.0167,            0.014835,            0.007327,            0.007327,            0.007327
                  29,             0.02966,            0.016033,            0.011523,             0.60476,             0.62806,             0.62089,             0.34668,            0.033875,            0.016765,            0.014709,            0.007228,            0.007228,            0.007228
                  30,            0.029619,            0.015938,            0.011457,             0.60022,             0.63718,             0.61796,             0.33736,            0.034135,             0.01678,             0.01471,            0.007129,            0.007129,            0.007129
                  31,            0.029366,            0.015752,            0.011277,             0.61328,             0.66513,             0.64167,              0.3522,            0.034976,            0.016476,            0.015167,             0.00703,             0.00703,             0.00703
                  32,            0.029361,            0.015711,            0.010929,             0.65492,             0.64352,              0.6626,             0.35718,            0.034385,             0.01641,            0.014086,            0.006931,            0.006931,            0.006931
                  33,            0.029343,            0.015625,            0.010996,             0.61087,             0.68186,             0.66133,             0.36683,            0.034387,            0.016592,            0.013447,            0.006832,            0.006832,            0.006832
                  34,            0.028931,            0.015538,            0.010515,             0.63421,             0.67628,             0.67125,             0.35493,             0.03475,            0.016841,            0.013771,            0.006733,            0.006733,            0.006733
                  35,             0.02901,            0.015461,            0.010553,              0.6177,             0.66754,             0.65684,              0.3592,            0.034133,            0.016377,            0.013851,            0.006634,            0.006634,            0.006634
                  36,            0.028884,            0.015501,            0.010174,             0.62943,             0.70954,             0.68911,             0.36589,            0.035233,            0.016371,            0.012894,            0.006535,            0.006535,            0.006535
                  37,            0.028722,            0.015442,            0.010325,              0.6203,              0.6755,             0.66862,             0.37024,            0.033321,            0.016386,            0.013898,            0.006436,            0.006436,            0.006436
                  38,            0.028815,            0.015359,            0.010264,             0.64223,             0.65955,              0.6605,             0.35796,            0.034149,            0.016235,            0.014227,            0.006337,            0.006337,            0.006337
                  39,            0.028664,            0.015324,            0.010319,             0.67057,             0.65647,             0.67637,             0.36723,            0.034016,            0.016371,            0.013978,            0.006238,            0.006238,            0.006238
                  40,            0.028542,            0.015336,           0.0099555,             0.63505,             0.67596,             0.67463,             0.36609,            0.033855,            0.016225,             0.01328,            0.006139,            0.006139,            0.006139
                  41,            0.028436,            0.015178,           0.0097282,             0.59745,              0.6913,             0.64377,             0.35601,             0.03362,            0.016377,            0.014387,             0.00604,             0.00604,             0.00604
                  42,            0.028221,            0.015157,           0.0098268,             0.65054,             0.65359,             0.66378,             0.36084,             0.03351,            0.016083,            0.014188,            0.005941,            0.005941,            0.005941
                  43,              0.0283,            0.015161,           0.0096339,             0.65245,             0.67261,             0.67395,             0.36801,            0.033684,            0.016178,            0.013285,            0.005842,            0.005842,            0.005842
                  44,            0.028158,            0.015252,           0.0092318,             0.61228,             0.66574,             0.65954,             0.37449,            0.032841,            0.016046,            0.015227,            0.005743,            0.005743,            0.005743
                  45,            0.028047,            0.015017,           0.0091828,             0.62918,             0.67415,             0.67306,             0.37139,            0.032879,            0.016124,             0.01415,            0.005644,            0.005644,            0.005644
                  46,            0.027935,            0.014993,           0.0091269,             0.64817,             0.66571,             0.66398,             0.36132,            0.033579,            0.016059,            0.013988,            0.005545,            0.005545,            0.005545
                  47,            0.027754,            0.014884,           0.0089599,             0.62829,             0.66391,             0.65669,             0.36192,            0.033528,            0.016171,            0.014579,            0.005446,            0.005446,            0.005446
                  48,            0.027773,             0.01476,           0.0089087,             0.63637,             0.65542,             0.65504,             0.36486,            0.033505,             0.01622,            0.015329,            0.005347,            0.005347,            0.005347
                  49,            0.027488,            0.014633,           0.0086599,             0.65682,             0.66761,             0.68387,               0.387,            0.032367,            0.016084,            0.014033,            0.005248,            0.005248,            0.005248
                  50,            0.027668,             0.01481,           0.0085847,             0.62932,             0.69503,             0.68593,             0.38643,            0.032181,            0.015881,            0.012908,            0.005149,            0.005149,            0.005149
                  51,            0.027288,            0.014636,           0.0084177,             0.68612,             0.66508,             0.69264,             0.37812,             0.03286,            0.015761,            0.014107,             0.00505,             0.00505,             0.00505
                  52,            0.027212,            0.014672,           0.0079648,             0.66806,             0.64846,             0.67167,             0.38718,            0.032408,              0.0159,            0.015318,            0.004951,            0.004951,            0.004951
                  53,            0.027146,            0.014569,           0.0079391,              0.6173,             0.69712,             0.67179,             0.37758,            0.032484,            0.015816,            0.014666,            0.004852,            0.004852,            0.004852
                  54,            0.027117,            0.014502,           0.0081876,             0.66211,             0.68367,             0.68086,             0.38623,            0.031854,            0.015654,            0.014948,            0.004753,            0.004753,            0.004753
                  55,            0.026984,            0.014362,           0.0076782,             0.64395,             0.68213,             0.67717,             0.39036,            0.031379,            0.015626,            0.015595,            0.004654,            0.004654,            0.004654
                  56,            0.026881,            0.014317,           0.0076196,             0.65249,              0.6597,              0.6729,             0.38174,            0.031636,            0.015659,            0.014502,            0.004555,            0.004555,            0.004555
                  57,            0.026692,            0.014321,           0.0071269,             0.61801,             0.69753,             0.67907,             0.39749,            0.031202,            0.015861,            0.015255,            0.004456,            0.004456,            0.004456
                  58,            0.026522,            0.014278,            0.006862,             0.67248,             0.69168,             0.69968,             0.41354,            0.030919,            0.015746,            0.014233,            0.004357,            0.004357,            0.004357
                  59,            0.026454,            0.014183,           0.0068953,             0.67589,              0.7125,             0.71358,             0.42198,            0.031008,            0.015728,            0.013946,            0.004258,            0.004258,            0.004258
                  60,            0.026476,            0.014083,           0.0066093,             0.70774,             0.65885,              0.7078,             0.41432,            0.030999,            0.015572,            0.014343,            0.004159,            0.004159,            0.004159
                  61,            0.026387,            0.013989,           0.0064318,             0.71458,             0.67903,             0.71215,             0.42036,            0.031093,            0.015564,            0.013134,             0.00406,             0.00406,             0.00406
                  62,            0.026184,            0.013981,           0.0063211,             0.70571,             0.70013,             0.72252,             0.42702,            0.031189,            0.015558,            0.012475,            0.003961,            0.003961,            0.003961
                  63,            0.026067,            0.013838,           0.0061646,             0.68851,             0.71209,             0.72583,             0.44128,            0.030144,             0.01577,            0.012871,            0.003862,            0.003862,            0.003862
                  64,            0.025818,            0.013811,            0.006096,             0.71059,             0.68662,             0.72494,             0.44073,            0.029888,            0.015456,            0.012701,            0.003763,            0.003763,            0.003763
                  65,             0.02573,            0.013801,           0.0057434,             0.74422,             0.69946,             0.74911,             0.44979,            0.030323,            0.015358,            0.011522,            0.003664,            0.003664,            0.003664
                  66,            0.025562,            0.013664,           0.0054718,             0.72476,             0.70499,             0.75311,              0.4533,              0.0304,            0.015429,             0.01182,            0.003565,            0.003565,            0.003565
                  67,            0.025365,            0.013612,           0.0052816,             0.74955,             0.70074,             0.75821,               0.467,            0.029988,            0.015353,            0.011817,            0.003466,            0.003466,            0.003466
                  68,            0.025468,            0.013587,           0.0052093,             0.72264,             0.72888,             0.76479,             0.47074,            0.029835,            0.015397,            0.011553,            0.003367,            0.003367,            0.003367
                  69,            0.025233,            0.013496,           0.0048858,             0.74942,             0.72384,             0.76304,             0.48294,            0.029331,            0.015494,            0.011565,            0.003268,            0.003268,            0.003268
                  70,            0.024988,            0.013381,           0.0045763,             0.75725,             0.69595,             0.76584,             0.48018,            0.029292,            0.015486,            0.012013,            0.003169,            0.003169,            0.003169
                  71,            0.024914,            0.013347,           0.0044984,             0.74287,             0.72009,               0.765,             0.47931,            0.029491,            0.015476,            0.011863,             0.00307,             0.00307,             0.00307
                  72,            0.024938,            0.013278,           0.0043594,             0.72199,             0.73394,             0.76039,             0.47732,            0.029616,            0.015575,            0.011916,            0.002971,            0.002971,            0.002971
                  73,            0.024744,            0.013158,           0.0043989,             0.74482,             0.70494,             0.76321,             0.47821,            0.029466,            0.015454,            0.011944,            0.002872,            0.002872,            0.002872
                  74,            0.024546,            0.013138,           0.0039912,             0.72493,             0.73973,             0.77157,             0.48393,              0.0292,            0.015507,            0.011582,            0.002773,            0.002773,            0.002773
                  75,            0.024548,            0.013106,            0.004026,             0.71919,             0.74687,             0.76517,             0.47643,            0.029438,             0.01554,            0.011916,            0.002674,            0.002674,            0.002674
                  76,            0.024403,            0.013146,           0.0039288,             0.72417,              0.7413,             0.76256,             0.48105,            0.029227,            0.015591,             0.01213,            0.002575,            0.002575,            0.002575
                  77,            0.024263,             0.01306,           0.0037657,             0.74758,             0.73986,              0.7711,             0.49662,            0.028866,            0.015495,            0.012123,            0.002476,            0.002476,            0.002476
                  78,            0.024079,            0.012921,           0.0037271,             0.73289,             0.73788,             0.76869,              0.4902,            0.028873,             0.01537,            0.012228,            0.002377,            0.002377,            0.002377
                  79,            0.023935,            0.012906,           0.0034965,             0.74714,             0.73651,             0.77535,             0.49227,            0.028796,            0.015465,            0.011575,            0.002278,            0.002278,            0.002278
                  80,            0.023778,            0.012815,           0.0034097,             0.73063,             0.75178,             0.77206,             0.49862,             0.02874,            0.015393,            0.011819,            0.002179,            0.002179,            0.002179
                  81,            0.023919,            0.012788,           0.0031972,             0.74129,             0.73392,              0.7738,             0.49959,            0.028784,            0.015664,            0.011707,             0.00208,             0.00208,             0.00208
                  82,            0.023584,            0.012749,           0.0030857,             0.71917,             0.75788,             0.77292,             0.50037,            0.028737,            0.015724,            0.011639,            0.001981,            0.001981,            0.001981
                  83,            0.023507,            0.012691,           0.0029664,             0.75026,             0.73144,              0.7764,             0.49722,            0.028869,            0.015728,            0.011656,            0.001882,            0.001882,            0.001882
                  84,            0.023331,            0.012756,           0.0028942,             0.76023,             0.72488,             0.77898,             0.50594,            0.028552,            0.015503,            0.011706,            0.001783,            0.001783,            0.001783
                  85,            0.023271,            0.012638,           0.0027447,             0.76714,              0.7185,             0.77929,             0.50151,            0.028599,            0.015665,            0.012032,            0.001684,            0.001684,            0.001684
                  86,            0.023211,            0.012594,           0.0027299,             0.76428,             0.72696,             0.78179,             0.50662,            0.028586,            0.015606,            0.011767,            0.001585,            0.001585,            0.001585
                  87,            0.022864,            0.012397,           0.0026234,             0.76205,             0.73046,             0.77663,             0.50355,            0.028695,            0.015683,            0.011855,            0.001486,            0.001486,            0.001486
                  88,            0.022653,            0.012362,           0.0024507,             0.75254,             0.74068,             0.77669,             0.50368,            0.028528,            0.015701,            0.011875,            0.001387,            0.001387,            0.001387
                  89,            0.022646,            0.012326,           0.0023088,             0.76705,             0.72643,             0.77303,             0.50307,            0.028499,            0.015641,            0.012177,            0.001288,            0.001288,            0.001288
                  90,             0.02239,            0.012261,           0.0023228,             0.76285,             0.73387,             0.77388,             0.50093,            0.028539,             0.01564,             0.01226,            0.001189,            0.001189,            0.001189
                  91,            0.022403,            0.012188,           0.0022896,             0.77272,             0.72546,             0.77368,             0.50188,            0.028482,            0.015735,            0.012176,             0.00109,             0.00109,             0.00109
                  92,            0.022152,            0.012151,           0.0021238,             0.76944,             0.73675,             0.77239,             0.50613,            0.028348,            0.015646,            0.012199,            0.000991,            0.000991,            0.000991
                  93,            0.021967,            0.012087,           0.0020488,             0.75933,             0.74068,             0.77166,              0.5047,            0.028289,            0.015595,            0.012431,            0.000892,            0.000892,            0.000892
                  94,            0.022005,            0.012076,           0.0019683,             0.76549,             0.73003,             0.77087,             0.50529,            0.028332,            0.015686,            0.012475,            0.000793,            0.000793,            0.000793
                  95,            0.021726,            0.011873,           0.0019112,             0.76554,             0.72684,              0.7697,              0.5026,            0.028287,             0.01573,            0.012504,            0.000694,            0.000694,            0.000694
                  96,            0.021913,            0.011768,           0.0019024,             0.75729,             0.73893,             0.77062,             0.50562,            0.028341,            0.015786,            0.012384,            0.000595,            0.000595,            0.000595
                  97,            0.021828,            0.011757,           0.0017906,               0.767,             0.73112,             0.77142,             0.50496,            0.028333,             0.01584,            0.012362,            0.000496,            0.000496,            0.000496
                  98,            0.022115,            0.011763,           0.0018045,             0.75967,             0.73884,             0.77138,              0.5058,            0.028349,            0.015861,            0.012312,            0.000397,            0.000397,            0.000397
                  99,            0.022071,            0.011663,           0.0017737,             0.76443,             0.74001,             0.77074,             0.50486,            0.028398,            0.015916,            0.012226,            0.000298,            0.000298,            0.000298
