               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.06337,            0.026112,            0.039167,             0.42619,             0.34454,             0.25421,             0.12215,            0.044493,             0.01883,            0.027398,             0.07002,           0.0033311,           0.0033311
                   1,            0.044621,            0.018633,            0.025672,             0.61036,             0.39468,             0.30701,              0.1551,            0.041043,            0.017988,             0.02303,            0.037821,           0.0044652,           0.0044652
                   2,            0.038301,            0.017694,             0.02283,              0.4781,             0.46376,             0.34539,             0.19576,            0.034712,            0.017029,            0.021564,           0.0034215,           0.0033992,           0.0033992
